Company,Year,Report Date,Sales,Raw Material Cost,Change in Inventory,Power and Fuel,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Total,Net Block,Capital Work in Progress,Investments,Other Assets,Receivables,Inventory,Cash & Bank,No. of Equity Shares,Face value,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,Revenue,Net_Income,Net Profit,Cost_of_Revenue,Share_Capital,Retained_Earnings,Total_Debt,Long_Term_Debt,Cash_and_Equivalents,Cash and Bank,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Net_Cash_Change,Profit_Margin,Operating_Margin,gross_margin,ROE,ROA,Debt_Equity_Ratio,Debt_to_Equity,Debt_Ratio,Equity_Ratio,Interest_Coverage_Ratio,Interest_Coverage,Asset_Utilization_Ratio,Asset_Utilization,Expense_Ratio,Depreciation_Ratio,Operating_CF_Ratio,effective_tax_rate,inventory_turnover,receivables_turnover,dio,dso,Revenue_Growth,Profit_Growth,Operating_CF_Growth,Revenue_Volatility,Total Liabilities,Total Assets,Expenses,Operating Profit,Working_Capital_Ratio,Receivable_Ratio,Inventory_Ratio,Cash_to_Debt,Cash_Margin,Borrowing_Growth,Asset_Growth,Reserve_Growth,Receivable_Growth,Inventory_Growth,Cash_Growth,Revenue_CAGR_3Y,Profit_CAGR_3Y,Profit_Volatility,Operating_CF_Volatility,ML_Prediction,ML_Anomaly_Score
ZYDUS WELLNESS LTD,2017,2017-03-31,430.57,95.89,3.92,4.02,51.68,48.3,125.75,9.6,32.46,7.16,0.55,124.0,12.72,108.98,25.4,39.07,518.12,25.0,100.3,682.49,102.53,0.13,30.01,549.82,4.04,31.88,440.16,39072089.0,10.0,76.95,-72.05,-6.21,-1.31,430.57,108.98,108.98,95.89,39.07,518.12,25.0,25.0,440.16,440.16,76.95,-72.05,-6.21,-1.31,0.2531063473999582,0.0,0.7772952133218757,0.1955885784023403,,0.0448679983488576,0.0448679983488576,,,0.0,0.0,,,0.0,,,0.1025806451612903,13.505959849435383,106.57673267326732,27.02510625449985,3.4247625240959656,,,,,682.49,1158.57,342.95000000000005,87.61999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.19432073471243322
ZYDUS WELLNESS LTD,2018,2018-03-31,512.62,112.35,-0.61,5.15,61.2,57.12,140.61,10.3,35.04,8.88,1.7,149.74,13.23,133.9,31.26,39.07,652.12,25.0,112.44,828.63,103.88,0.24,147.55,576.96,8.75,35.06,413.72,39072089.0,10.0,69.06,-59.12,-1.82,8.12,512.62,133.9,133.9,112.35,39.07,652.12,25.0,25.0,413.72,413.72,69.06,-59.12,-1.82,8.12,0.2612071319886075,0.0,0.7808318052358472,0.1937238675328057,,0.0361695047671407,0.0361695047671407,,,0.0,0.0,,,0.0,,,0.088353145452117,14.621220764403878,58.585142857142856,24.96371581288284,6.230248527174125,0.1905613489095849,0.2286658102404111,-0.1025341130604288,58.01811139635621,828.6300000000001,1286.16,397.31,115.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.19417439429993988
ZYDUS WELLNESS LTD,2019,2019-03-31,842.82,240.72,24.28,9.6,98.14,86.83,231.13,15.88,28.43,12.51,30.09,170.63,-0.61,169.14,28.83,57.66,3328.62,1569.25,502.99,5458.52,4567.42,10.31,46.1,834.69,96.04,233.07,164.29,57664144.0,10.0,149.38,-4092.35,4051.53,108.56,842.82,169.14,169.14,240.72,57.66,3328.62,1569.25,1569.25,164.29,164.29,149.38,-4092.35,4051.53,108.56,0.2006834199473197,0.0,0.7143874136826368,0.0499486161805875,,0.4634141299597198,0.4634141299597198,,,0.0,0.0,,,0.0,,,-0.0035749868135732,3.616166816836144,8.775718450645565,100.93560902683846,41.59203625922498,0.6441418594670516,0.2631814787154591,1.1630466261222123,218.21789760084604,5458.52,5951.92,724.9,117.92000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.18843318741906911
ZYDUS WELLNESS LTD,2020,2020-03-31,1766.82,694.16,57.54,21.62,191.35,156.37,419.15,20.65,-33.49,26.39,139.91,121.27,-20.45,141.72,28.83,57.66,3403.0,1519.19,609.83,5589.68,4673.52,3.53,110.41,802.22,118.2,292.34,82.42,57664144.0,10.0,259.25,-17.12,-259.69,-17.56,1766.82,141.72,141.72,694.16,57.66,3403.0,1519.19,1519.19,82.42,82.42,259.25,-17.12,-259.69,-17.56,0.0802119061364485,0.0,0.607113344879501,0.0409517259713465,,0.4389885166413343,0.4389885166413343,,,0.0,0.0,,,0.0,,,-0.168631978230395,6.04371622083875,14.947715736040609,60.393305486693606,24.41844670085238,1.096319498825372,-0.1621142249024476,0.7355067612799573,650.1058477919833,5589.68,6082.64,1669.6000000000004,97.21999999999956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.1900067539218811
ZYDUS WELLNESS LTD,2021,2021-03-31,1866.67,885.99,41.13,25.03,44.15,164.86,421.41,22.0,-123.19,25.16,83.8,112.21,-6.52,118.73,31.82,63.63,4504.16,550.4,548.24,5666.43,4667.4,3.74,,995.29,94.28,364.72,252.72,63632144.0,10.0,286.73,-10.41,-216.43,59.89,1866.67,118.73,118.73,885.99,63.63,4504.16,550.4,550.4,252.72,252.72,286.73,-10.41,-216.43,59.89,0.063605243562065,0.0,0.5253633475654508,0.0259928762049043,,0.1204959072111458,0.1204959072111458,,,0.0,0.0,,,0.0,,,-0.058105338205151,5.118090590041676,19.79921510394569,71.31565836489578,18.43507422308174,0.0565139629390658,-0.1622212813999435,0.1059980713596915,564.5078749081658,5666.429999999999,,1672.4,194.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.1921447886743029
ZYDUS WELLNESS LTD,2022,2022-03-31,2009.1,979.57,-0.8,31.42,46.38,164.37,422.19,19.62,10.4,23.62,25.51,306.02,-2.85,308.87,31.82,63.63,4780.4,387.34,460.81,5692.18,4709.94,11.92,27.02,943.3,142.32,361.64,169.8,63632144.0,10.0,236.85,-58.93,-233.82,-55.9,2009.1,308.87,308.87,979.57,63.63,4780.4,387.34,387.34,169.8,169.8,236.85,-58.93,-233.82,-55.9,0.1537355034592603,0.0,0.512433427903041,0.0637630237632714,,0.0799623454024851,0.0799623454024851,,,0.0,0.0,,,0.0,,,-0.0093131167897523,5.555524831323969,14.116779089376054,65.70036334677218,25.855756308794984,0.0763016494613402,1.6014486650383222,-0.1739615666306282,121.76201227531313,5692.18,6365.9400000000005,1712.68,296.41999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.19277728168083957
ZYDUS WELLNESS LTD,2023,2023-03-31,2254.8,1214.5,68.5,43.3,54.5,168.2,480.2,25.3,-5.3,25.0,16.1,290.9,-19.5,310.4,31.8,63.6,5059.0,297.3,413.2,5833.1,4732.4,13.0,70.0,1017.7,207.8,457.5,38.1,63632144.0,10.0,91.7,-84.9,-138.5,-131.7,2254.8,310.4,310.4,1214.5,63.6,5059.0,297.3,297.3,38.1,38.1,91.7,-84.9,-138.5,-131.7,0.1376618768848678,0.0,0.4613712967890722,0.0605942294928356,,0.0580369343692656,0.0580369343692656,,,0.0,0.0,,,0.0,,,-0.0670333447920247,4.928524590163935,10.850818094321465,74.05867482703565,33.63801667553663,0.1222935642825147,0.0049535403244083,-0.6128351277179649,196.34140835120235,5833.1,6536.5,2027.1,227.70000000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.19200704541555508
ZYDUS WELLNESS LTD,2024,2024-03-31,2327.8,1147.9,9.5,41.5,62.8,194.2,557.1,25.6,-0.3,23.8,24.0,260.1,-6.8,266.9,31.8,63.6,5293.9,328.7,462.2,6148.4,4707.5,9.7,77.6,1353.6,283.3,467.6,239.5,63632144.0,10.0,246.4,-177.7,-25.7,43.0,2327.8,266.9,266.9,1147.9,63.6,5293.9,328.7,328.7,239.5,239.5,246.4,-177.7,-25.7,43.0,0.1146576166337314,0.0,0.5068734427356302,0.0498180121325244,,0.0613532431171255,0.0613532431171255,,,0.0,0.0,,,0.0,,,-0.0261437908496732,4.9781864841745085,8.216731380162372,73.31987284130939,44.42155683477962,0.0323753769735675,-0.1401417525773196,1.6870229007633588,166.96665335729074,6148.4,7138.8,2076.9,250.9000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.19235745045506697
ZYDUS WELLNESS LTD,2025,2025-03-31,2708.9,1328.5,50.4,35.9,81.1,238.8,672.7,22.6,19.5,28.4,12.0,358.8,11.9,346.9,38.16,63.6,5608.0,188.3,582.0,6441.9,5124.9,15.1,36.4,1265.5,367.0,517.5,73.9,63632144.0,10.0,380.0,-207.0,-186.3,-13.3,2708.9,346.9,346.9,1328.5,63.6,5608.0,188.3,188.3,73.9,73.9,380.0,-207.0,-186.3,-13.3,0.1280593598877773,0.0,0.509579534128244,0.0611643980534593,,0.0332005077932153,0.0332005077932153,,,0.0,0.0,,,0.0,,,0.0331661092530657,5.234589371980676,7.381198910081745,69.72848757798369,49.44996123887925,0.1637168141592919,0.2997377294866992,0.5422077922077921,243.8486620836794,6441.900000000001,7400.299999999999,2420.0,288.9000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.19151744255901815
ZYDUS WELLNESS LTD,2026,2026-03-31,3961.0,1628.7,61.8,36.0,94.3,315.0,1411.6,27.5,-34.4,146.7,98.1,230.5,33.3,197.2,38.16,63.6,5762.4,3202.8,1161.1,10189.9,8595.9,23.1,5.1,1565.8,383.8,763.8,111.1,318160720.0,2.0,226.4,-2880.9,2698.4,43.9,3961.0,197.2,197.2,1628.7,63.6,5762.4,3202.8,3202.8,111.1,111.1,226.4,-2880.9,2698.4,43.9,0.0497854077253218,0.0,0.5888159555667761,0.0338482663920357,,0.5497425334706488,0.5497425334706488,,,0.0,0.0,,,0.0,,,0.144468546637744,5.185912542550407,10.320479416362687,70.38298409492552,35.36657409745014,0.4622171361069067,-0.4315364658402998,-0.4042105263157894,854.4329367090983,10189.9,11448.6,3757.9,203.1000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.1875805219995892
