Company,Year,Report Date,Sales,Raw Material Cost,Change in Inventory,Power and Fuel,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Total,Net Block,Investments,Other Assets,Receivables,Inventory,Cash & Bank,No. of Equity Shares,Face value,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,Capital Work in Progress,Revenue,Net_Income,Net Profit,Cost_of_Revenue,Share_Capital,Retained_Earnings,Total_Debt,Long_Term_Debt,Cash_and_Equivalents,Cash and Bank,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Net_Cash_Change,Profit_Margin,Operating_Margin,gross_margin,ROE,ROA,Debt_Equity_Ratio,Debt_to_Equity,Debt_Ratio,Equity_Ratio,Interest_Coverage_Ratio,Interest_Coverage,Asset_Utilization_Ratio,Asset_Utilization,Expense_Ratio,Depreciation_Ratio,Operating_CF_Ratio,effective_tax_rate,inventory_turnover,receivables_turnover,dio,dso,Revenue_Growth,Profit_Growth,Operating_CF_Growth,Revenue_Volatility,Total Liabilities,Total Assets,Expenses,Operating Profit,Working_Capital_Ratio,Receivable_Ratio,Inventory_Ratio,Cash_to_Debt,Cash_Margin,Borrowing_Growth,Asset_Growth,Reserve_Growth,Receivable_Growth,Inventory_Growth,Cash_Growth,Revenue_CAGR_3Y,Profit_CAGR_3Y,Profit_Volatility,Operating_CF_Volatility,Prediction,Decision Score,Anomaly Score
COFORGE LTD,2017,2017-03-31,2802.1,14.1,0.1,18.5,144.5,1651.3,441.1,52.7,4.3,127.7,6.0,350.6,78.5,250.1,76.75,61.4,1625.1,25.4,695.0,2406.9,847.6,315.8,1243.5,468.0,0.3,407.5,61362174.0,10.0,472.3,-343.1,-66.9,62.3,,2802.1,250.1,250.1,14.1,61.4,1625.1,25.4,25.4,407.5,407.5,472.3,-343.1,-66.9,62.3,0.0892544877056493,0.0,0.9949680596695336,0.1482952860954639,,0.0150607767565965,0.0150607767565965,,,0.0,0.0,,,0.0,,,0.2239018824871648,9340.333333333334,5.987393162393162,0.0390778344812818,60.96142179079976,,,,,2406.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.19278333486442495,-0.19278333486442495
COFORGE LTD,2018,2018-03-31,2991.4,31.7,,18.5,132.4,1760.1,513.7,33.0,38.4,127.4,9.4,403.6,94.9,280.2,92.25,61.5,1712.5,22.5,827.8,2624.3,879.3,365.2,1379.1,585.8,0.3,418.3,61456124.0,10.0,382.4,-248.0,-74.4,60.0,0.7,2991.4,280.2,280.2,31.7,61.5,1712.5,22.5,22.5,418.3,418.3,382.4,-248.0,-74.4,60.0,0.0936685164137193,0.0,0.9894029551380624,0.1579481397970687,,0.0126832018038331,0.0126832018038331,,,0.0,0.0,,,0.0,,,0.2351337958374628,9971.333333333334,5.106520996927279,0.0366049341445477,71.47723473958682,0.0675564755005175,0.1203518592562975,-0.1903451196273555,133.85531367861358,2624.3,3628.7000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.192497879765896,-0.192497879765896
COFORGE LTD,2019,2019-03-31,3676.2,29.1,,17.7,166.6,2153.2,622.4,36.8,46.0,124.8,9.2,562.4,140.3,403.3,,61.8,2010.5,13.6,748.0,2833.9,818.7,365.1,1648.7,587.7,,557.6,61783874.0,10.0,452.7,-237.2,-106.3,109.2,1.4,3676.2,403.3,403.3,29.1,61.8,2010.5,13.6,13.6,557.6,557.6,452.7,-237.2,-106.3,109.2,0.1097056743376312,0.0,0.9920842173984006,0.1946146793417941,,0.0065627563576702,0.0065627563576702,,,0.0,0.0,,,0.0,,,0.2494665718349929,,6.255232261357835,,58.35115064468745,0.2289229123487328,0.4393290506780871,0.1838389121338912,459.8616349874528,2833.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.19249936704692733,-0.19249936704692733
COFORGE LTD,2020,2020-03-31,4183.9,84.4,,16.9,191.3,2529.8,598.4,38.5,59.3,173.0,15.5,595.4,127.8,444.0,193.75,62.5,2334.0,35.2,968.4,3400.1,1079.3,13.7,2306.8,856.5,,903.4,62494559.0,10.0,296.9,135.9,-132.7,300.1,0.3,4183.9,444.0,444.0,84.4,62.5,2334.0,35.2,35.2,903.4,903.4,296.9,135.9,-132.7,300.1,0.1061210831998852,0.0,0.979827433734076,0.1852701856874608,,0.0146880867932401,0.0146880867932401,,,0.0,0.0,,,0.0,,,0.2146456163923412,,4.88488032691185,,74.72035660508139,0.1381045644959468,0.1009174311926606,-0.3441572785509167,598.4377689729592,3400.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.19114925999796117,-0.19114925999796117
COFORGE LTD,2021,2021-03-31,4662.8,193.5,,12.4,241.7,2815.8,552.4,65.9,13.0,183.6,14.3,596.2,130.2,455.6,78.78,60.6,2405.5,82.6,935.2,3483.9,1020.6,12.4,2450.7,1068.3,,812.2,60592349.0,10.0,762.3,-86.1,-695.8,-19.6,0.2,4662.8,455.6,455.6,193.5,60.6,2405.5,82.6,82.6,812.2,812.2,762.3,-86.1,-695.8,-19.6,0.0977095307540533,0.0,0.9585013296731576,0.1847451441547382,,0.0334941810956571,0.0334941810956571,,,0.0,0.0,,,0.0,,,0.2183830929218382,,4.364691566039502,,83.62561122072574,0.1144625827577141,0.026126126126126,1.5675311552711353,493.37005381356494,3483.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.19034107609847734,-0.19034107609847734
COFORGE LTD,2022,2022-03-31,6432.0,172.4,,13.9,383.1,3834.6,873.4,52.7,51.8,227.2,65.0,861.5,146.8,661.7,316.68,60.9,2672.2,489.6,1655.1,4877.8,2066.7,,2794.3,1389.4,,453.5,60913152.0,10.0,765.6,-962.9,-155.8,-353.1,16.8,6432.0,661.7,661.7,172.4,60.9,2672.2,489.6,489.6,453.5,453.5,765.6,-962.9,-155.8,-353.1,0.1028762437810945,0.0,0.9731965174129352,0.2421060334418792,,0.179137243423219,0.179137243423219,,,0.0,0.0,,,0.0,,,0.1704004643064422,,4.6293364042032525,,78.84499378109454,0.3794286694689885,0.4523705004389815,0.0043290043290045,1184.157046172508,4877.799999999999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.1843887903949195,-0.1843887903949195
COFORGE LTD,2023,2023-03-31,8014.6,55.1,,15.8,594.4,4828.0,1188.9,50.4,8.3,258.5,80.6,951.2,206.1,693.8,391.04,61.1,3021.4,562.2,1980.4,5625.1,2311.9,,3308.6,1613.1,,578.7,61087080.0,10.0,950.5,-269.2,-558.2,123.1,4.6,8014.6,693.8,693.8,55.1,61.1,3021.4,562.2,562.2,578.7,578.7,950.5,-269.2,-558.2,123.1,0.0865670151972649,0.0,0.9931250467896088,0.2250770478507704,,0.1823844282238443,0.1823844282238443,,,0.0,0.0,,,0.0,,,0.2166736753574432,,4.968445849606349,,73.46361640006987,0.2460509950248757,0.0485114100045336,0.2415099268547544,1676.7654695872036,5625.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.17996542845193864,-0.17996542845193864
COFORGE LTD,2024,2024-03-31,9008.9,9.4,,19.4,834.4,5391.4,1261.1,46.1,32.1,297.2,125.5,1056.5,220.9,808.0,469.68,61.8,3564.8,726.0,1708.5,6061.1,2353.0,,3684.9,1803.9,,335.2,61820992.0,10.0,903.4,-265.0,-887.0,-248.6,23.2,9008.9,808.0,808.0,9.4,61.8,3564.8,726.0,726.0,335.2,335.2,903.4,-265.0,-887.0,-248.6,0.0896890852379313,0.0,0.9989565873747072,0.2227982132024485,,0.2001875034467545,0.2001875034467545,,,0.0,0.0,,,0.0,,,0.2090866067203028,,4.9941238427850765,,73.08589283930336,0.1240610885134627,0.1646007494955319,-0.0495528669121515,1299.5940943232974,6061.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.1783344397581238,-0.1783344397581238
COFORGE LTD,2025,2025-03-31,12050.7,10.1,,24.0,1069.1,7224.1,1963.7,66.0,137.3,427.6,134.7,1268.7,332.6,812.1,508.44,66.9,6312.3,1070.4,4822.7,12272.3,6096.2,145.7,6028.0,2577.1,,883.2,66878856.0,10.0,1237.1,-2438.1,1675.3,474.3,2.4,12050.7,812.1,812.1,10.1,66.9,6312.3,1070.4,1070.4,883.2,883.2,1237.1,-2438.1,1675.3,474.3,0.067390276083547,0.0,0.9991618744139344,0.1273043641835967,,0.1677953348382242,0.1677953348382242,,,0.0,0.0,,,0.0,,,0.2621581146055017,,4.676070001164099,,78.05700083812559,0.3376438854910146,0.0050742574257425,0.3693823334071284,2102.826785543685,12272.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.17252198555184228,-0.17252198555184228
COFORGE LTD,2026,2026-03-31,16402.7,6.5,,,,9216.1,2191.8,2052.2,-82.6,681.9,168.6,2003.0,258.3,1555.7,134.4,67.2,9470.4,727.8,4616.0,14881.4,6759.5,,8118.6,3970.0,,1099.2,,2.0,1791.7,-434.8,-1093.7,263.2,3.3,16402.7,1555.7,1555.7,6.5,67.2,9470.4,727.8,727.8,1099.2,1099.2,1791.7,-434.8,-1093.7,263.2,0.0948441415132874,0.0,0.999603723777183,0.1631123133702399,,0.0763085052843482,0.0763085052843482,,,0.0,0.0,,,0.0,,,0.1289565651522716,,4.131662468513854,,88.342163180452,0.3611408465898247,0.9156507819234084,0.4483065233206695,3716.1971978533793,14881.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.16426044894463954,-0.16426044894463954
