Company,Year,Report Date,Sales,Raw Material Cost,Change in Inventory,Power and Fuel,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Total,Net Block,Capital Work in Progress,Investments,Other Assets,Receivables,Inventory,Cash & Bank,No. of Equity Shares,Face value,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,Revenue,Net_Income,Net Profit,Cost_of_Revenue,Share_Capital,Retained_Earnings,Total_Debt,Long_Term_Debt,Cash_and_Equivalents,Cash and Bank,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Net_Cash_Change,Profit_Margin,Operating_Margin,gross_margin,ROE,ROA,Debt_Equity_Ratio,Debt_to_Equity,Debt_Ratio,Equity_Ratio,Interest_Coverage_Ratio,Interest_Coverage,Asset_Utilization_Ratio,Asset_Utilization,Expense_Ratio,Depreciation_Ratio,Operating_CF_Ratio,effective_tax_rate,inventory_turnover,receivables_turnover,dio,dso,Revenue_Growth,Profit_Growth,Operating_CF_Growth,Revenue_Volatility,Total Liabilities,Total Assets,Expenses,Operating Profit,Working_Capital_Ratio,Receivable_Ratio,Inventory_Ratio,Cash_to_Debt,Cash_Margin,Borrowing_Growth,Asset_Growth,Reserve_Growth,Receivable_Growth,Inventory_Growth,Cash_Growth,Revenue_CAGR_3Y,Profit_CAGR_3Y,Profit_Volatility,Operating_CF_Volatility,Prediction,Decision Score,Anomaly Score
BANCO PRODUCTS (INDIA) LTD,2017,2017-03-31,1239.36,696.8,8.4,21.77,114.76,162.23,94.88,13.69,32.47,33.33,1.96,140.81,43.6,97.2,64.35,14.3,705.21,38.37,211.28,969.16,192.47,3.56,91.29,681.84,204.81,322.01,85.21,71518650.0,2.0,90.3,-58.68,-61.45,-29.83,1239.36,97.2,97.2,696.8,14.3,705.21,38.37,38.37,85.21,85.21,90.3,-58.68,-61.45,-29.83,0.0784275755228505,0.0,0.4377743351407178,0.1350919375686231,,0.0533279593056385,0.0533279593056385,,,0.0,0.0,,,0.0,,,0.3096370996378098,3.848824570665507,6.051267027977149,94.83414827007488,60.31794635941132,,,,,969.16,1581.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.194980909235421,-0.194980909235421
BANCO PRODUCTS (INDIA) LTD,2018,2018-03-31,1335.64,792.26,55.01,20.59,171.71,167.9,42.18,17.21,17.65,27.7,1.77,166.98,50.21,116.77,71.5,14.3,793.4,33.66,356.13,1197.49,191.45,12.71,24.12,969.21,256.55,439.0,199.97,71518650.0,2.0,99.04,-22.21,-67.94,8.89,1335.64,116.77,116.77,792.26,14.3,793.4,33.66,33.66,199.97,199.97,99.04,-22.21,-67.94,8.89,0.0874262525830313,0.0,0.4068311820550448,0.1445710040856754,,0.0416738888201064,0.0416738888201064,,,0.0,0.0,,,0.0,,,0.3006946939753264,3.04246013667426,5.206158643539271,119.9687041418346,70.10927345691952,0.0776852569067907,0.2013374485596706,0.0967884828349945,68.08024089264094,1197.4899999999998,2093.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.19400068621482713,-0.19400068621482713
BANCO PRODUCTS (INDIA) LTD,2019,2019-03-31,1566.73,970.32,54.09,28.16,194.26,183.59,47.47,35.69,10.43,29.22,4.26,138.28,69.2,69.08,57.2,14.3,818.38,39.88,322.12,1194.68,184.25,12.62,68.53,929.28,271.6,479.44,127.12,71518650.0,2.0,62.41,-51.59,-49.38,-38.56,1566.73,69.08,69.08,970.32,14.3,818.38,39.88,39.88,127.12,127.12,62.41,-51.59,-49.38,-38.56,0.0440918345854103,0.0,0.3806718451807267,0.0829610414565019,,0.0478935485420569,0.0478935485420569,,,0.0,0.0,,,0.0,,,0.5004339022273648,3.2678333055231104,5.768519882179676,111.69480382707933,63.27446337275728,0.1730181785511064,-0.4084096942707887,-0.3698505654281099,168.24760691710702,1194.6799999999998,2072.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.19395871697669542,-0.19395871697669542
BANCO PRODUCTS (INDIA) LTD,2020,2020-03-31,1422.08,833.5,13.78,26.99,184.12,191.96,53.47,23.65,25.17,32.77,3.1,111.47,34.9,76.58,143.0,14.3,695.73,91.65,286.86,1088.54,193.42,2.62,9.21,883.29,293.58,476.2,70.43,71518650.0,2.0,52.12,149.48,-152.54,49.06,1422.08,76.58,76.58,833.5,14.3,695.73,91.65,91.65,70.43,70.43,52.12,149.48,-152.54,49.06,0.0538506975697569,0.0,0.413886701170117,0.1078545976930552,,0.1290790529977606,0.1290790529977606,,,0.0,0.0,,,0.0,,,0.3130887234233426,2.9863082738345232,4.843926698003951,122.22448807380738,75.35208989648964,-0.0923260549041634,0.1085697741748696,-0.1648774234898253,116.7604986000546,1088.54,1928.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.19298651305473513,-0.19298651305473513
BANCO PRODUCTS (INDIA) LTD,2021,2021-03-31,1532.57,936.33,57.59,25.5,193.37,185.83,48.29,22.61,8.9,33.68,3.62,149.83,36.11,113.72,14.3,14.3,814.13,14.23,344.01,1186.67,189.78,1.03,0.81,995.05,270.29,563.91,122.61,71518650.0,2.0,156.81,-58.72,-78.19,19.9,1532.57,113.72,113.72,936.33,14.3,814.13,14.23,14.23,122.61,122.61,156.81,-58.72,-78.19,19.9,0.0742021571608474,0.0,0.3890458510867366,0.1372717067223543,,0.017177069879169,0.017177069879169,,,0.0,0.0,,,0.0,,,0.241006474003871,2.717756379564115,5.670095083058936,134.30195684373308,64.37281820732497,0.0776960508550854,0.4849830242883259,2.00863392171911,75.60706338255287,1186.67,2143.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.19382388243373833,-0.19382388243373833
BANCO PRODUCTS (INDIA) LTD,2022,2022-03-31,1957.85,1301.09,132.07,32.97,223.98,196.35,42.3,21.42,5.08,47.87,5.26,223.76,71.34,152.42,143.0,14.3,967.42,115.22,404.68,1501.62,296.51,14.92,0.51,1189.68,324.25,720.49,81.57,71518650.0,2.0,57.24,-104.28,-11.24,-58.29,1957.85,152.42,152.42,1301.09,14.3,967.42,115.22,115.22,81.57,81.57,57.24,-104.28,-11.24,-58.29,0.0778507035779043,0.0,0.3354496003268892,0.155258118404433,,0.1173654402477284,0.1173654402477284,,,0.0,0.0,,,0.0,,,0.3188237397211298,2.7173867784424486,6.038087895142636,134.3202237147892,60.4496003268892,0.2774946658227684,0.3403095321843121,-0.6349722594222307,282.8782457171284,1501.62,2627.9300000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.1921406039906488,-0.1921406039906488
BANCO PRODUCTS (INDIA) LTD,2023,2023-03-31,2331.82,1558.66,220.91,48.58,249.65,229.5,85.09,15.7,14.2,56.35,12.58,310.82,75.25,235.58,157.3,14.3,987.2,417.57,435.47,1854.54,359.05,18.47,,1477.02,413.49,994.9,18.33,71518650.0,2.0,-41.46,-23.37,58.71,-6.13,2331.82,235.58,235.58,1558.66,14.3,987.2,417.57,417.57,18.33,18.33,-41.46,-23.37,58.71,-6.13,0.10102838126442,0.0,0.3315693321096826,0.2352271592611083,,0.416944583125312,0.416944583125312,,,0.0,0.0,,,0.0,,,0.2421015378675761,2.343773243542065,5.639362499697696,155.73178890308856,64.7236278958067,0.1910105472840106,0.5455976905917861,-1.7243186582809225,399.89940439232174,1854.54,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.19143147343577832,-0.19143147343577832
BANCO PRODUCTS (INDIA) LTD,2024,2024-03-31,2768.43,1526.15,-75.97,46.56,284.69,282.13,99.57,25.02,31.71,75.99,21.36,362.7,91.3,271.39,143.0,14.3,1037.2,422.97,507.86,1982.33,454.05,9.82,,1518.46,480.94,922.04,63.46,71518650.0,2.0,458.09,-113.78,-339.3,5.0,2768.43,271.39,271.39,1526.15,14.3,1037.2,422.97,422.97,63.46,63.46,458.09,-113.78,-339.3,5.0,0.0980302915370805,0.0,0.4487308691207651,0.2580979553019495,,0.4022539229671897,0.4022539229671897,,,0.0,0.0,,,0.0,,,0.2517231872070581,3.002505314303067,5.75628976587516,121.56514703279475,63.40889962903162,0.1872400099493099,0.15200781051023,-12.048962855764591,405.6931906009769,1982.33,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.18499714204795464,-0.18499714204795464
BANCO PRODUCTS (INDIA) LTD,2025,2025-03-31,3212.52,2163.73,421.98,44.99,331.32,335.4,107.76,40.13,43.02,94.34,25.63,534.22,142.41,391.8,157.36,28.61,1274.23,573.35,867.53,2743.72,515.72,5.15,38.1,2184.75,611.39,1381.27,119.05,143037300.0,2.0,164.31,-72.55,-88.81,2.95,3212.52,391.8,391.8,2163.73,28.61,1274.23,573.35,573.35,119.05,119.05,164.31,-72.55,-88.81,2.95,0.1219603302080609,0.0,0.3264695628354064,0.3007276411531731,,0.440077062417488,0.440077062417488,,,0.0,0.0,,,0.0,,,0.2665755681180038,2.325772658495443,5.25445296782741,156.9370929986428,69.46489049095413,0.1604122192000521,0.4436788385717971,-0.6413150254316837,440.3552940902765,2743.7200000000003,4855.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.18773396188923824,-0.18773396188923824
BANCO PRODUCTS (INDIA) LTD,2026,2026-03-31,3896.38,2008.38,-68.91,,,452.32,,685.61,120.09,134.51,22.58,644.16,162.48,481.68,,28.61,1655.71,613.77,759.93,3058.02,472.19,11.27,78.55,2496.01,737.97,1498.31,80.77,,2.0,380.29,-175.39,-188.98,15.92,3896.38,481.68,481.68,2008.38,28.61,1655.71,613.77,613.77,80.77,80.77,380.29,-175.39,-188.98,15.92,0.1236224392898023,0.0,0.4845523280583516,0.2859789113707609,,0.364402251353662,0.364402251353662,,,0.0,0.0,,,0.0,,,0.2522354694485842,2.600516582015738,5.279862325026762,140.35672855316986,69.13059044549043,0.2128733828894451,0.2294027565084226,1.3144665571176437,568.2064809849801,3058.02,5375.0700000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,0.1906045044677634,-0.1906045044677634
